"id","trans_date_trans_time","cc_num","merchant","category","amt","first","last","gender","street","city","state","zip","lat","long","city_pop","job","dob","trans_num","unix_time","merch_lat","merch_long","is_fraud"
172807,"2020-08-20 21:50:58","180011453250192","Abbott-Steuber","personal_care",76.97,"Craig","Dunn","M","721 Jacqueline Brooks","New Boston","IL",61272,41.2153,-90.9879,1504,"Manufacturing engineer","1993-10-05","a0b291148c2746b8b265ec6908ee0f5c",1377035458,40.746361,-91.19765,0
383719,"2020-11-17 18:49:49","180011453250192","Abshire PLC","entertainment",76,"Craig","Dunn","M","721 Jacqueline Brooks","New Boston","IL",61272,41.2153,-90.9879,1504,"Manufacturing engineer","1993-10-05","409ae4bd9854c68f98d4f9418a286129",1384714189,40.529782,-90.953611,0
124182,"2020-08-03 16:50:46","180011453250192","Altenwerth-Kilback","home",69.26,"Craig","Dunn","M","721 Jacqueline Brooks","New Boston","IL",61272,41.2153,-90.9879,1504,"Manufacturing engineer","1993-10-05","90d05da7151bfb54e2e5ec9eebf75b8d",1375548646,41.506606,-91.883638,0
261495,"2020-09-25 20:27:31","180011453250192","Altenwerth-Kilback","home",84.3,"Craig","Dunn","M","721 Jacqueline Brooks","New Boston","IL",61272,41.2153,-90.9879,1504,"Manufacturing engineer","1993-10-05","f00fab9648ceafb23c937aebdc690b33",1380140851,41.466885,-91.095415,0
425719,"2020-12-03 03:10:27","180011453250192","Altenwerth  Cartwright and Koss","shopping_net",98.72,"Craig","Dunn","M","721 Jacqueline Brooks","New Boston","IL",61272,41.2153,-90.9879,1504,"Manufacturing engineer","1993-10-05","6fd02fec7e1c88b708c248a098549c0e",1386040227,40.22928,-91.447437,0
512443,"2020-12-22 03:40:19","180014262259255","Abbott-Steuber","personal_care",463.11,"Brianna","Page","F","0043 Henry Plaza","Brantley","AL",36009,31.571,-86.2743,2566,"Exercise physiologist","1958-06-26","f6a3eb4933367e000627f5e4775e4799",1387683619,31.359089,-85.821128,0
536213,"2020-12-27 21:51:38","180014262259255","Abshire PLC","entertainment",157.44,"Brianna","Page","F","0043 Henry Plaza","Brantley","AL",36009,31.571,-86.2743,2566,"Exercise physiologist","1958-06-26","e3bbd7e60bc40f7c59d769da8999f702",1388181098,32.022694,-86.524649,0
356060,"2020-11-06 06:36:06","180014262259255","Altenwerth-Kilback","home",39.27,"Brianna","Page","F","0043 Henry Plaza","Brantley","AL",36009,31.571,-86.2743,2566,"Exercise physiologist","1958-06-26","b2ca9749c9d0ebda562050fd554f2b68",1383719766,32.124165,-87.266662,0
469179,"2020-12-13 06:29:03","180014262259255","Altenwerth-Kilback","home",2.95,"Brianna","Page","F","0043 Henry Plaza","Brantley","AL",36009,31.571,-86.2743,2566,"Exercise physiologist","1958-06-26","b6ac2352b3999b44aab33c3bc2e2124a",1386916143,32.246755,-85.497188,0
84264,"2020-07-20 15:31:19","180014262259255","Altenwerth  Cartwright and Koss","shopping_net",117.04,"Brianna","Page","F","0043 Henry Plaza","Brantley","AL",36009,31.571,-86.2743,2566,"Exercise physiologist","1958-06-26","0fcc862ade9fdcc217adcc3eaa120bef",1374334279,30.793076,-86.611411,0
43355,"2020-07-06 09:58:03","180017442990269","Abbott-Steuber","personal_care",13.84,"Michelle","Anderson","F","28311 Dennis Trace","Albany","NY",12222,42.6853,-73.8253,151022,"Designer  textile","1939-06-01","39c213338f6c3edd299a81505d85de35",1373104683,42.394404,-74.195261,0
76801,"2020-07-18 07:24:54","180017442990269","Abshire PLC","entertainment",6.43,"Michelle","Anderson","F","28311 Dennis Trace","Albany","NY",12222,42.6853,-73.8253,151022,"Designer  textile","1939-06-01","38d024dafccda5122de39d9a06587032",1374132294,43.171418,-73.847011,0
414777,"2020-11-30 19:49:02","180017442990269","Altenwerth-Kilback","home",131.77,"Michelle","Anderson","F","28311 Dennis Trace","Albany","NY",12222,42.6853,-73.8253,151022,"Designer  textile","1939-06-01","4098e784b79c0a2b382d4dd0f2e36183",1385840942,43.015116,-74.145427,0
471620,"2020-12-13 17:27:27","180017442990269","Altenwerth-Kilback","home",78.14,"Michelle","Anderson","F","28311 Dennis Trace","Albany","NY",12222,42.6853,-73.8253,151022,"Designer  textile","1939-06-01","64556db76222224e9bd28558354e3584",1386955647,41.939021,-72.969428,0
471621,"2020-12-14 17:27:27","180017442990269","Altenwerth  Cartwright and Koss","shopping_net",117.04,"Michelle","Anderson","F","28311 Dennis Trace","Albany","NY",12222,42.6853,-73.8253,151022,"Designer  textile","1939-06-01","64556db76222224e9bd28558354e3333",1386955747,30.793076,-86.611411,0
471622,"2020-12-14 17:27:27","180017442990271","Altenwerth  Cartwright and Koss","shopping_net",117.04,"Michelle","Anderson","F","28311 Dennis Trace","Albany","NY",12222,42.6853,-73.8253,151022,"Designer  textile","1939-06-01",,1386955747,30.793076,-86.611411,0
471623,"2020-12-14 17:27:27",,"Altenwerth  Cartwright and Koss","shopping_net",117.04,"Michelle","Anderson","F","28311 Dennis Trace","Albany","NY",12222,42.6853,-73.8253,151022,"Designer  textile","1939-06-01","64556db76222224e9bd28558354e3366",1386955747,30.793076,-86.611411,0
